Año,Sexo,Valor,Indicador
2010,Mujer,29.5,Uso del Tiempo (ODS 5.4.1)
2010,Hombre,9.2,Uso del Tiempo (ODS 5.4.1)
2011,Mujer,29.2,Uso del Tiempo (ODS 5.4.1)
2011,Hombre,9.4,Uso del Tiempo (ODS 5.4.1)
2012,Mujer,28.9,Uso del Tiempo (ODS 5.4.1)
2012,Hombre,9.6,Uso del Tiempo (ODS 5.4.1)
2013,Mujer,28.7,Uso del Tiempo (ODS 5.4.1)
2013,Hombre,9.7,Uso del Tiempo (ODS 5.4.1)
2014,Mujer,28.4,Uso del Tiempo (ODS 5.4.1)
2014,Hombre,9.9,Uso del Tiempo (ODS 5.4.1)
2015,Mujer,28.1,Uso del Tiempo (ODS 5.4.1)
2015,Hombre,10.1,Uso del Tiempo (ODS 5.4.1)
2016,Mujer,27.8,Uso del Tiempo (ODS 5.4.1)
2016,Hombre,10.3,Uso del Tiempo (ODS 5.4.1)
2017,Mujer,27.5,Uso del Tiempo (ODS 5.4.1)
2017,Hombre,10.5,Uso del Tiempo (ODS 5.4.1)
2018,Mujer,27.3,Uso del Tiempo (ODS 5.4.1)
2018,Hombre,10.6,Uso del Tiempo (ODS 5.4.1)
2019,Mujer,27.0,Uso del Tiempo (ODS 5.4.1)
2019,Hombre,10.8,Uso del Tiempo (ODS 5.4.1)
2020,Mujer,26.7,Uso del Tiempo (ODS 5.4.1)
2020,Hombre,11.0,Uso del Tiempo (ODS 5.4.1)
2021,Mujer,26.4,Uso del Tiempo (ODS 5.4.1)
2021,Hombre,11.2,Uso del Tiempo (ODS 5.4.1)
2022,Mujer,26.1,Uso del Tiempo (ODS 5.4.1)
2022,Hombre,11.4,Uso del Tiempo (ODS 5.4.1)
2023,Mujer,25.9,Uso del Tiempo (ODS 5.4.1)
2023,Hombre,11.5,Uso del Tiempo (ODS 5.4.1)
2024,Mujer,25.6,Uso del Tiempo (ODS 5.4.1)
2024,Hombre,11.7,Uso del Tiempo (ODS 5.4.1)
2025,Mujer,25.3,Uso del Tiempo (ODS 5.4.1)
2025,Hombre,11.9,Uso del Tiempo (ODS 5.4.1)
